Date,Close,Volume,Open,High,Low
4/22/24,$715.46 ,1437110,$714.86 ,$718.26 ,$706.17 
4/19/24,$709.51 ,2190356,$713.03 ,$714.87 ,$702.00 
4/18/24,$711.25 ,1846393,$715.19 ,$718.95 ,$709.57 
4/17/24,$715.19 ,1376665,$723.00 ,$723.80 ,$711.00 
4/16/24,$715.97 ,1412304,$718.30 ,$722.50 ,$712.13 
4/15/24,$718.28 ,1808014,$735.43 ,$741.00 ,$717.95 
4/12/24,$731.31 ,1481799,$728.00 ,$732.90 ,$726.54 
4/11/24,$732.35 ,2107799,$731.50 ,$733.79 ,$724.15 
4/10/24,$722.58 ,1832047,$711.00 ,$723.98 ,$708.95 
4/9/24,$718.59 ,1388289,$716.24 ,$719.05 ,$706.98 
4/8/24,$711.81 ,1459032,$713.51 ,$716.14 ,$710.87 
4/5/24,$713.72 ,1552889,$706.04 ,$716.89 ,$706.02 
4/4/24,$704.88 ,2252433,$708.77 ,$717.13 ,$704.22 
4/3/24,$705.69 ,3205499,$709.98 ,$710.81 ,$697.27 
4/2/24,$711.30 ,2326670,$720.00 ,$720.00 ,$708.40 
4/1/24,$721.24 ,1600705,$731.76 ,$733.27 ,$720.20 
3/28/24,$732.63 ,1713268,$733.85 ,$734.90 ,$728.32 
3/27/24,$732.08 ,1246672,$734.00 ,$735.89 ,$727.75 
3/26/24,$730.98 ,1353548,$731.00 ,$734.70 ,$730.22 
3/25/24,$730.96 ,1604668,$731.00 ,$734.16 ,$726.74 
3/22/24,$734.80 ,1794078,$744.43 ,$744.79 ,$734.38 
3/21/24,$742.56 ,2106857,$743.50 ,$752.31 ,$741.10 
3/20/24,$740.72 ,1398710,$731.00 ,$742.09 ,$729.13 
3/19/24,$732.17 ,1322684,$731.79 ,$735.35 ,$730.02 
3/18/24,$731.54 ,1595245,$726.10 ,$733.34 ,$726.02 
3/15/24,$725.63 ,3390743,$732.52 ,$732.52 ,$723.22 
3/14/24,$731.95 ,1826066,$738.33 ,$740.68 ,$728.99 
3/13/24,$734.20 ,2270262,$735.00 ,$736.50 ,$726.58 
3/12/24,$736.88 ,3727425,$717.08 ,$740.05 ,$716.91 
3/11/24,$714.08 ,3762489,$719.81 ,$720.00 ,$711.01 
3/8/24,$725.56 ,8590163,$756.05 ,$756.22 ,$725.10 
3/7/24,$785.59 ,4187879,$779.11 ,$787.08 ,$777.01 
3/6/24,$773.24 ,2400644,$764.84 ,$775.16 ,$763.66 
3/5/24,$759.95 ,2353351,$768.42 ,$769.27 ,$756.90 
3/4/24,$759.18 ,2133354,$755.08 ,$764.74 ,$753.67 
3/1/24,$749.44 ,1678119,$740.44 ,$751.38 ,$739.25 
2/29/24,$743.89 ,3361185,$751.42 ,$752.56 ,$742.99 
2/28/24,$747.96 ,1364965,$743.21 ,$751.88 ,$743.21 
2/27/24,$744.71 ,1471310,$746.00 ,$746.64 ,$741.33 
2/26/24,$745.35 ,1707046,$742.00 ,$746.78 ,$739.00 
2/23/24,$737.93 ,1265759,$740.12 ,$742.51 ,$737.12 
2/22/24,$734.40 ,1801596,$725.85 ,$736.05 ,$725.85 
2/21/24,$723.02 ,1565913,$725.69 ,$728.79 ,$720.27 
2/20/24,$725.69 ,2407333,$728.03 ,$734.96 ,$723.71 
2/16/24,$723.99 ,1764947,$721.99 ,$729.06 ,$718.50 
2/15/24,$724.51 ,1264141,$721.49 ,$726.03 ,$718.28 
2/14/24,$722.18 ,1472519,$716.00 ,$722.55 ,$711.07 
2/13/24,$714.25 ,1951080,$721.39 ,$721.78 ,$709.04 
2/12/24,$722.41 ,1572611,$723.52 ,$723.80 ,$715.30 
2/9/24,$723.40 ,1426119,$725.14 ,$725.53 ,$720.12 
2/8/24,$724.16 ,1918506,$723.89 ,$728.17 ,$720.66 
2/7/24,$719.78 ,2145467,$714.15 ,$723.32 ,$712.00 
2/6/24,$710.79 ,1920162,$711.23 ,$712.72 ,$704.34 
2/5/24,$711.16 ,2276889,$710.64 ,$712.86 ,$705.68 
2/2/24,$709.48 ,2377629,$703.34 ,$714.28 ,$702.26 
2/1/24,$704.48 ,2039177,$694.00 ,$705.30 ,$691.50 
1/31/24,$694.88 ,1928495,$701.32 ,$705.52 ,$693.04 
1/30/24,$700.74 ,1610482,$692.94 ,$702.65 ,$690.80 
1/29/24,$694.01 ,2215436,$689.90 ,$694.13 ,$686.26 
1/26/24,$686.88 ,1825517,$680.08 ,$687.24 ,$679.50 
1/25/24,$679.90 ,2751888,$686.50 ,$686.50 ,$675.96 
1/24/24,$686.51 ,1946549,$689.00 ,$689.97 ,$683.12 
1/23/24,$687.59 ,2208580,$690.72 ,$691.63 ,$684.63 
1/22/24,$692.51 ,2452868,$695.43 ,$698.66 ,$690.52 
